"filename", "language", "JSON", "PHP", "HTML", "XML", "PostCSS", "Markdown", "YAML", "Docker", "JavaScript", "PL/SQL", "CSV", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Response/MockResponse.php", "PHP", 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 53, 339
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Response/NativeResponse.php", "PHP", 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 65, 372
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Response/ResponseStream.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 53
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Response/StreamWrapper.php", "PHP", 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 62, 313
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Response/StreamableInterface.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 5, 36
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Response/TraceableResponse.php", "PHP", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 27, 217
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Response/TransportResponseTrait.php", "PHP", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 54, 315
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Retry/GenericRetryStrategy.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 109
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Retry/RetryStrategyInterface.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 6, 37
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/RetryableHttpClient.php", "PHP", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 41, 209
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/ScopingHttpClient.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 118
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/Test/HarFileResponseFactory.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 98
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/ThrottlingHttpClient.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 52
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/TraceableHttpClient.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 117
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/UriTemplateHttpClient.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 85
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/http-client/composer.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Php83.php", "PHP", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 37, 198
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/README.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateError.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateInvalidOperationException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateInvalidTimeZoneException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateMalformedIntervalStringException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateMalformedPeriodStringException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateMalformedStringException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateObjectError.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/DateRangeError.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/Override.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 21
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/Resources/stubs/SQLite3Exception.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto/vendor/symfony/polyfill-php83/bootstrap.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 51
